Date,Value,Anomaly
1/1/2021,5,FALSE
1/2/2021,5,FALSE
1/3/2021,6,FALSE
1/4/2021,9,FALSE
1/5/2021,5,FALSE
1/6/2021,8,FALSE
1/7/2021,15,TRUE
1/8/2021,4,FALSE
1/9/2021,8,FALSE
1/10/2021,10,FALSE
1/11/2021,7,FALSE
1/12/2021,10,FALSE
1/13/2021,3,TRUE
1/14/2021,5,FALSE
1/15/2021,6,FALSE
1/16/2021,7,FALSE
1/17/2021,6,FALSE
1/18/2021,9,FALSE
1/19/2021,4,FALSE
1/20/2021,9,FALSE
1/21/2021,8,FALSE
1/22/2021,7,FALSE
1/23/2021,5,FALSE
1/24/2021,7,FALSE
1/25/2021,8,FALSE
1/26/2021,4,FALSE
1/27/2021,4,FALSE
1/28/2021,7,FALSE
1/29/2021,4,FALSE
1/30/2021,6,FALSE
1/31/2021,5,FALSE
2/1/2021,4,FALSE
2/2/2021,9,FALSE
2/3/2021,10,FALSE
2/4/2021,6,FALSE
2/5/2021,6,FALSE
2/6/2021,8,FALSE
2/7/2021,9,FALSE
2/8/2021,5,FALSE
2/9/2021,4,FALSE
2/10/2021,8,FALSE
2/11/2021,7,FALSE
2/12/2021,8,FALSE
2/13/2021,5,FALSE
2/14/2021,9,FALSE
2/15/2021,4,FALSE
2/16/2021,5,FALSE
2/17/2021,9,FALSE
2/18/2021,6,FALSE
2/19/2021,6,FALSE
2/20/2021,9,FALSE
2/21/2021,8,FALSE
2/22/2021,6,FALSE
2/23/2021,7,FALSE
2/24/2021,4,FALSE
2/25/2021,8,FALSE
2/26/2021,9,FALSE
2/27/2021,7,FALSE
2/28/2021,9,FALSE
3/1/2021,8,FALSE
3/2/2021,10,FALSE
3/3/2021,7,FALSE
3/4/2021,7,FALSE
3/5/2021,10,FALSE
3/6/2021,8,FALSE
3/7/2021,6,FALSE
3/8/2021,7,FALSE
3/9/2021,9,FALSE
3/10/2021,8,FALSE
3/11/2021,5,FALSE
3/12/2021,5,FALSE
3/13/2021,6,FALSE
3/14/2021,6,FALSE
3/15/2021,8,FALSE
3/16/2021,7,FALSE
3/17/2021,7,FALSE
3/18/2021,7,FALSE
3/19/2021,9,FALSE
3/20/2021,4,FALSE
3/21/2021,7,FALSE
3/22/2021,9,FALSE
3/23/2021,4,FALSE
3/24/2021,5,FALSE
3/25/2021,8,FALSE
3/26/2021,7,FALSE
3/27/2021,9,FALSE
3/28/2021,10,FALSE
3/29/2021,9,FALSE
3/30/2021,7,FALSE
3/31/2021,8,FALSE
4/1/2021,8,FALSE
4/2/2021,6,FALSE
4/3/2021,9,FALSE
4/4/2021,8,FALSE
4/5/2021,9,FALSE
4/6/2021,7,FALSE
4/7/2021,6,FALSE
4/8/2021,7,FALSE
4/9/2021,6,FALSE
4/10/2021,8,FALSE
